dp_secondary_id,primary_care_service_area_pcsa_label,primary_care_service_area_id,state_abbreviation,total_primary_care_providers_pcps,non_institutionalized_population,ratio_of_non_institutionalized_population_to_total_number_of_primary_care_providers,percent_of_pcsa_in_rural_area,population_age_0_14_years,population_age_15_64_years,population_age_65_years_or_greater,percent_of_population_age_0_14_years,percent_of_population_age_15_64_years,percent_of_population_age_65_years_or_greater,population_male,population_female,percent_of_population_male,percent_of_population_female,percent_of_population_black,percent_of_population_hispanic,percent_of_population_non_black,percent_of_population_non_hispanic,percent_of_population_non_white,percent_of_population_white,number_of_women_of_childbearing_age,population_american_indian_and_alaska_native_alone,population_asian_alone,population_native_hawaiian_and_other_pacific_islander_alone,families_for_whom_poverty_status_was_determined,families_with_income_below_1_00_times_the_u_s_federal_poverty_level_percent_of_total_by_primary_care_service_area,percent_of_population_with_known_income_below_1_00_times_the_u_s_poverty_guidelines_by_primary_care_service_area,percent_of_population_with_known_income_below_2_00_times_the_u_s_poverty_guidelines_by_primary_care_service_area,population_density,rural_population,total_population,preference_index,localization_index,number_of_primary_care_physicians,number_of_primary_care_physicians_1,non_federal,number_of_specialist_physicians,non_federal_1,number_of_ob_gyn_physicians,non_federal_2,number_of_primary_care_physician_assistants,number_of_gp_im_pediatric_physician_assistants,number_of_ob_gyn_physician_assistants,number_of_physician_assistants_with_specialty_as_geriatrics_or_unknown,number_of_dentists,non_federal_3,full_time_practice,number_of_dentists_1,non_federal_4,part_time_practice,primary_care_fte_physicians_for_mua_or_hpsa_purposes,crude_rate_primary_care_physicians,clinically_active,population_per_clinically_active_primary_care_physician,number_of_federally_qualified_health_center_look_alikes_located_in_pcsa,number_of_federally_qualified_health_centers_located_in_pcsa,number_of_tribal_run_sites_located_in_pcsa,number_of_indian_health_service_sites_located_in_pcsa,number_of_rural_health_clinics_located_in_pcsa,x64
06065042708,CA00_SUN CITY,06065042708,CA,36,124508,"3,459:1",0,31145,83211,19164,8.04,62.32,14.35,65132,68388,48.78,51.22,5.52,33.6,94.48,66.4,31.35,68.65,26743,1129,8328,524,30611,1769,7.59,25.16,1019.9073,4438,133520,0.4776,0.5015,30,29,29,5,6,2,0,4,27,3,34.6,22.4685,4450.6667,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06065043401,CA00_HEMET,06065043401,CA,77,177219,"2,302:1",28.4,42012,112760,31848,7.71,60.42,17.07,90231,96389,48.35,51.65,5.24,38.66,94.76,61.34,32.52,67.48,35285,3386,4971,549,43373,5698,16.52,42.87,306.3159,17421,186620,0.6884,0.729,64,64,83,5,13,8,0,5,51,9,68.8,34.2943,2915.9375,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06065042619,CA00_PERRIS,06065042619,CA,17,75009,"4,412:1",0,24315,52746,4516,10.03,64.66,5.54,40888,40689,50.12,49.88,11.21,72.67,88.79,27.33,57.63,42.37,19062,733,2484,280,15794,3058,23.25,51.11,1403.7239,3420,81577,0.2288,0.2266,12,12,8,0,5,3,0,2,8,2,12.1,14.71,6798.0833,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06067009611,CA00_ELK GROVE,06067009611,CA,284,324231,"1,142:1",0,84343,227675,29992,8.7,66.57,8.77,166939,175071,48.81,51.19,14.8,23.45,85.2,76.55,61.12,38.88,74473,2671,87903,6122,78666,8517,14.07,32.73,1287.1125,14883,342010,0.4758,0.4691,260,253,290,54,24,18,0,6,155,24,326.3,76.0212,1315.4231,2,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06067008117,CA00_CARMICHAEL,06067008117,CA,233,451924,"1,940:1",0,91248,304381,59358,6.83,66.9,13.05,220981,234006,48.57,51.43,6.2,15.71,93.8,84.29,26.27,73.73,91540,4429,29714,2566,116461,10302,11.95,29.09,1638.8117,3901,454987,0.5127,0.5266,199,186,315,20,34,12,1,21,218,51,213.2,43.7375,2286.3668,1,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06073012700,CA02_CHULA VISTA,06073012700,CA,104,93186,896:1,0,21809,67534,13032,7.45,65.97,12.73,49373,53002,48.23,51.77,4.13,70.95,95.87,29.05,44.3,55.7,22101,965,6646,525,22836,3195,16.89,43.66,8253.2545,0,102375,0.4526,0.4508,97,93,97,9,7,3,0,4,76,10,105.4,94.7497,1055.4124,0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06073017200,CA00_DEL MAR,06073017200,CA,9,10534,"1,170:1",0,1430,7111,2205,5.29,66.17,20.52,5338,5408,49.67,50.33,0.52,4.98,99.48,95.02,10.62,89.38,1691,23,643,8,3135,111,4.01,5.92,2830.1493,0,10746,0.21560000000000001,0.2522,8,8,24,0,1,0,0,1,12,2,8,74.4463,1343.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06073017303,CA00_SOLANA BEACH,06073017303,CA,12,8518,710:1,0,1289,6013,1224,5.04,70.53,14.36,4287,4239,50.28,49.72,0.4,20.92,99.6,79.08,16.44,83.56,1741,49,267,16,1977,124,9.77,22.82,4068.5589,0,8526,0.179,0.1806,12,12,25,1,0,0,0,0,27,3,14.1,140.746,710.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06075025300,CA02_SAN FRANCISCO,06075025300,CA,202,167906,831:1,0,23011,131201,16752,3.83,76.74,9.8,88868,82096,51.98,48.02,9.78,27.8,90.22,72.2,51.84,48.16,41905,1435,37450,1445,31529,2936,12.19,29.32,16674.8614,0,170964,0.2905,0.2657,184,179,269,20,18,4,2,12,77,6,249.6,107.625,929.1522,2,30,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06081609800,CA01_REDWOOD CITY,06081609800,CA,173,132470,766:1,0,27736,93267,15725,6.18,68.21,11.5,68036,68692,49.76,50.24,1.9,32.52,98.1,67.48,35.01,64.99,27139,749,14420,1148,33879,1914,8.85,22.92,3935.9842,767,136728,0.5749,0.6098,164,161,314,33,9,2,0,7,119,27,209.1,119.9462,833.7073,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06081613700,CA02_REDWOOD CITY,06081613700,CA,24,27519,"1,147:1",99.4,5379,19798,3717,6.4,68.52,12.86,14380,14514,49.77,50.23,0.75,26.87,99.25,73.13,22.36,77.64,4773,204,1094,46,7122,282,5.44,16.72,105.7504,8181,28894,0.4246,0.4987,23,22,51,6,1,1,0,0,10,4,28.1,79.6013,1256.2609,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06073018904,CA00_FALLBROOK,06073018904,CA,24,47562,"1,982:1",0,8834,30286,8184,6.47,64.02,17.3,23548,23756,49.78,50.22,1.37,36.43,98.63,63.57,27.28,72.72,8341,323,1055,115,12610,777,9.31,26.91,376.0578,8332,47304,0.3713,0.3732,22,20,33,4,2,1,0,1,20,5,25.1,46.5077,2150.1818,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06075030101,CA01_SAN FRANCISCO,06075030101,CA,301,218599,726:1,0,25849,162272,30718,3.58,74.15,14.04,108960,109879,49.79,50.21,4.12,8.95,95.88,91.05,51.03,48.97,50075,687,84634,465,46318,2168,8.86,20.08,15320.6789,0,218839,0.2644,0.2746,284,281,665,22,17,4,0,13,201,44,438.8,129.7758,770.5599,1,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06075011300,CA03_SAN FRANCISCO,06075011300,CA,166,117868,710:1,0,8642,102460,20624,1.94,77.78,15.66,71886,59840,54.57,45.43,6.52,11.34,93.48,88.66,54.67,45.33,30243,766,50512,348,20055,3037,21.9,46.07,27795.177,0,131726,0.5719,0.6164,151,148,336,29,15,6,1,8,252,55,190.6,114.6319,872.3576,1,30,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06079011701,CA00_PISMO BEACH,06079011701,CA,62,75379,"1,216:1",0,13334,49556,13139,6.3,65.18,17.28,37294,38735,49.05,50.95,0.89,25.63,99.11,74.37,19.34,80.66,13094,810,2287,110,20438,1149,8.9,26.3,164.2192,9203,76029,0.5244,0.5583,51,50,69,6,11,6,0,5,47,6,58.5,67.0797,1490.7647,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06081606300,CA00_SAN MATEO,06081606300,CA,138,160513,"1,163:1",0,30201,111798,24771,5.45,67.04,14.85,81181,85589,48.68,51.32,1.99,18.69,98.01,81.31,41.94,58.06,33050,632,40654,2375,41079,1323,4.9,13.15,5712.8804,4,166770,0.5817,0.5432,129,123,251,24,9,0,1,8,160,43,153.5,77.352,1292.7907,0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06085503712,CA01_SAN JOSE,06085503712,CA,281,560386,"1,994:1",0,125358,409876,54009,6.63,69.56,9.17,299237,290006,50.78,49.22,2.98,36.46,97.02,63.54,70.98,29.02,130169,5089,259257,2752,127573,11613,11.56,27.76,4984.1212,2035,589243,0.5955,0.6614,251,247,201,23,30,15,3,12,481,42,299.2,42.597,2347.5817,0,36,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06045010700,CA00_WILLITS,06045010700,CA,13,12941,995:1,100,2404,8801,1915,6.27,67.08,14.6,6543,6577,49.87,50.13,0.52,15.12,99.48,84.88,16.96,83.04,2291,517,124,15,3529,461,17.13,37.76,44.2915,5067,13120,0.7733,0.7736,11,11,5,1,2,2,0,0,7,1,12,83.8415,1192.7273,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06047002100,CA00_LOS BANOS,06047002100,CA,21,47958,"2,284:1",99.9,13533,31515,4484,9.44,63.63,9.05,24852,24680,50.17,49.83,3.66,63.82,96.34,36.18,39.38,60.62,10336,651,1331,154,11312,1924,20.57,42.17,73.633,6902,49532,0.7166,0.7577,17,16,16,6,4,1,0,3,12,1,22.5,34.3212,2913.6471,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06053011304,CA00_KING CITY,06053011304,CA,23,31395,"1,365:1",100,9604,21925,1978,8.36,65.43,5.9,17659,15848,52.7,47.3,1.11,85.48,98.89,14.52,56.14,43.86,7375,1275,425,21,6226,772,16.2,52.21,62.0066,2527,33507,0.5306,0.5332,14,14,7,3,9,4,0,5,7,4,17.5,41.7823,2393.3571,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06055201602,CA00_SAINT HELENA,06055201602,CA,19,19905,"1,048:1",40.2,3357,14171,3781,5.71,66.5,17.74,10472,10837,49.14,50.86,1.11,30.65,98.89,69.35,22.17,77.83,3844,145,624,31,5196,206,7.75,21.09,46.4963,9427,21309,0.6659,0.6784,17,17,51,3,2,2,0,0,14,4,21.6,79.7785,1253.4706,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06057000501,CA00_GRASS VALLEY,06057000501,CA,69,72963,"1,057:1",99.9,10640,47569,16276,5.65,63.86,21.85,36456,38029,48.94,51.06,0.41,6.66,99.59,93.34,7.84,92.16,10480,887,851,88,21116,1351,9.64,25.91,84.4271,33081,74485,0.8335,0.8655,58,58,84,10,11,9,0,2,46,20,69.2,77.868,1284.2241,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06059086601,CA02_ANAHEIM,06059086601,CA,117,96772,827:1,0,24725,67719,7647,8.12,67.66,7.64,50340,49751,50.29,49.71,2.73,67.1,97.27,32.9,51.05,48.95,23250,850,11844,365,19967,3031,17.8,47.86,12203.3009,0,100091,0.2107,0.1985,102,102,100,11,15,9,0,6,58,14,114.1,101.9073,981.2843,0,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06059042205,CA00_SAN CLEMENTE,06059042205,CA,67,58470,873:1,0,10527,40770,8954,6.3,67.67,14.86,30339,29912,50.35,49.65,0.63,17.89,99.37,82.11,14.02,85.98,10764,367,1891,93,15581,896,7.7,19.26,3407.8742,0,60251,0.3361,0.4066,57,54,67,3,10,3,1,6,45,10,60.6,94.6042,1057.0351,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06059110116,CA00_LA PALMA,06059110116,CA,52,40809,785:1,0,7012,27284,6019,7.26,67.68,14.93,19601,20714,48.62,51.38,5.13,15.01,94.87,84.99,69.98,30.02,7723,167,22177,150,10876,596,6.65,18.64,6714.5002,0,40315,0.1361,0.1409,51,50,38,4,1,1,0,0,42,4,54.1,126.5038,790.4902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06073018519,CA00_OCEANSIDE,06073018519,CA,234,315357,"1,348:1",0,69539,235194,37272,6.19,68.77,10.9,177375,164630,51.86,48.14,4.22,35.46,95.78,64.54,31.77,68.23,70742,3331,18263,3221,78110,6231,10.89,30.62,1113.9931,8165,342005,0.6197,0.6377,197,183,227,19,37,18,0,19,189,21,215.7,57.6015,1736.066,0,17,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06073011700,CA01_NATIONAL CITY,06073011700,CA,45,71184,"1,582:1",0,17340,57999,7011,7.17,70.43,8.51,44062,38288,53.51,46.49,12.6,60.21,87.4,39.79,60.09,39.91,17576,784,10382,769,16036,3469,24.84,57.8,9030.9891,0,82350,0.301,0.3285,37,33,32,6,8,2,2,4,42,5,42.5,44.9302,2225.6757,0,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06075015300,CA05_SAN FRANCISCO,06075015300,CA,269,52204,194:1,0,4173,44561,9596,1.78,76.39,16.45,28530,29800,48.91,51.09,12.66,10.53,87.34,89.47,43.99,56.01,16701,238,12597,146,8156,443,15.51,33.19,31935.0856,0,58330,0.3954,0.4374,262,256,474,63,7,0,0,7,57,6,355.1,449.1685,222.6336,1,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06075016900,CA07_SAN FRANCISCO,06075016900,CA,47,12173,259:1,0,715,10294,1221,1.09,84.17,9.98,7794,4436,63.73,36.27,2.22,10.07,97.78,89.93,20.69,79.31,2574,63,1217,15,1594,16,6.8,15.58,23875.2653,0,12230,0.2657,0.2551,42,41,66,2,5,3,0,2,14,1,48.8,343.4178,291.1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06077004302,CA00_LODI,06077004302,CA,69,129167,"1,872:1",16.5,29535,84233,17508,7.89,64.16,13.34,65317,65959,49.76,50.24,1.39,35.72,98.61,64.28,32.02,67.98,24969,1348,9236,374,32257,3106,14.44,36.23,196.7516,31810,131276,0.782,0.8072,64,63,68,9,5,2,0,3,51,5,77.9,48.7522,2051.1875,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06083000102,CA02_SANTA BARBARA,06083000102,CA,85,82123,966:1,0,12033,68625,11548,4.68,74.43,12.52,45674,46532,49.53,50.47,1.73,27.02,98.27,72.98,27.48,72.52,23891,669,8050,122,16895,789,17.09,31.49,714.0745,1947,92206,0.5346,0.5243,76,75,108,5,9,6,0,3,50,13,80.5,82.4241,1213.2368,1,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06083001903,CA00_SOLVANG,06083001903,CA,23,21851,950:1,99.9,3902,14864,3904,6.39,65.57,17.22,11201,11469,49.41,50.59,0.63,25.17,99.37,74.83,15.37,84.63,3698,424,403,24,5808,172,7.45,21.96,56.4256,7808,22670,0.5582,0.6325,21,21,17,0,2,1,0,1,9,5,21.2,92.6334,1079.5238,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06095253403,CA00_DIXON,06095253403,CA,5,20655,"4,131:1",99.9,4902,14432,1919,8.11,67.91,9.03,10582,10671,49.79,50.21,2.71,40.91,97.29,59.09,28.65,71.35,4471,211,722,67,5254,418,9.88,25.95,117.2189,2808,21253,0.3275,0.2968,4,4,0,0,1,1,0,0,3,0,4.1,18.8209,5313.25,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06097151309,CA00_PENNGROVE,06097151309,CA,38,41737,"1,098:1",0,7162,33096,4143,5.59,74.54,9.33,21294,23107,47.96,52.04,1.88,20.36,98.12,79.64,22.74,77.26,11130,423,2327,190,9684,525,10.74,25.3,2006.6187,901,44401,0.3044,0.3161,37,35,9,0,1,0,1,0,21,9,37,83.3315,1200.027,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06099003907,CA01_TURLOCK,06099003907,CA,39,73358,"1,881:1",0,17372,49632,9084,8.01,65.23,11.94,37713,38375,49.56,50.44,1.09,40.46,98.91,59.54,30.27,69.73,15837,682,2821,235,18135,1805,13.77,38.92,392.5622,11724,76088,0.4975,0.5237,33,33,36,0,6,3,0,3,26,3,34.1,43.3708,2305.697,1,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06101050202,CA00_YUBA CITY,06101050202,CA,120,161325,"1,344:1",0,39227,108420,19245,7.61,64.96,11.53,83353,83539,49.94,50.06,2.56,27.14,97.44,72.86,35.84,64.16,33597,3040,18525,574,40453,5009,16.71,40.19,135.2175,32940,166892,0.8788,0.8795,103,100,129,11,17,12,0,5,45,15,116.6,61.7166,1620.3107,0,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06107000302,CA00_KINGSBURG,06107000302,CA,5,22253,"4,451:1",44.8,5709,14497,2718,8.38,63.24,11.86,11513,11411,50.22,49.78,0.48,53.29,99.52,46.71,31.84,68.16,4552,280,610,24,5323,835,20.05,42.15,191.8441,9928,22924,0.2643,0.2137,2,2,3,0,3,1,0,2,5,1,2,8.7245,11462,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06111000901,CA00_OJAI,06111000901,CA,19,29024,"1,528:1",89.8,4686,19050,4867,6.24,66.6,17.02,13873,14730,48.5,51.5,0.55,20.71,99.45,79.29,14.61,85.39,4661,280,462,15,7523,280,6.61,20.92,28.0443,5592,28603,0.6479,0.6265,17,16,12,0,2,1,0,1,9,3,17,59.4343,1682.5294,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06113011300,CA00_WINTERS,06113011300,CA,4,7895,"1,974:1",99.7,1716,5608,782,7.77,69.18,9.65,4093,4013,50.49,49.51,0.79,51.62,99.21,48.38,30.71,69.29,1629,79,80,9,2025,223,14.71,33.43,72.3564,1024,8106,0.4248,0.3624,3,2,0,0,1,1,0,0,4,0,3,37.0096,2702,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06073020202,CA02_ESCONDIDO,06073020202,CA,66,87783,"1,330:1",0,21340,60507,8998,7.69,66.6,9.9,45834,45011,50.45,49.55,1.92,49.98,98.08,50.02,41.2,58.8,18776,3137,4235,207,21233,2129,14.1,35.97,358.6311,27693,90845,0.3614,0.4128,58,52,101,8,8,6,0,2,59,8,62,63.845,1566.2931,0,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06073021000,CA07_SAN DIEGO,06073021000,CA,1,8126,"8,126:1",100,1459,6480,2768,5.02,60.52,25.85,5328,5379,49.76,50.24,0.73,22.19,99.27,77.81,18.44,81.56,1352,648,108,10,2378,161,9.92,26.91,6.6287,10707,10707,0.2951,0.3183,0,0,1,0,1,1,0,0,1,2,0,0,0,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06077005406,CA00_TRACY,06077005406,CA,58,95766,"1,651:1",0,26892,71968,7393,8.94,67.73,6.96,54781,51472,51.56,48.44,7.7,34.22,92.3,65.78,46.7,53.3,22269,891,16676,859,23491,1711,9.9,25.13,400.6527,9068,106253,0.755,0.7839,53,53,63,9,5,1,0,4,48,7,61.8,49.8809,2004.7736,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06083000302,CA01_SANTA BARBARA,06083000302,CA,159,107858,678:1,57.8,16694,76525,16798,5.04,69.56,15.27,54552,55465,49.59,50.41,1.32,36.21,98.68,63.79,23.23,76.77,22656,1066,3370,153,24074,1856,12.99,29.55,331.8705,4534,110017,0.6059,0.6152,143,142,326,22,16,7,1,8,87,21,166.5,129.9799,769.3497,4,11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06083002502,CA03_SANTA MARIA,06083002502,CA,4,7286,"1,822:1",0,2070,4674,601,9.37,63.64,8.18,3703,3642,50.42,49.58,1.06,85.11,98.94,14.89,51.84,48.16,1576,106,286,6,1580,231,16.04,49.23,115.9199,265,7345,0.3336,0.3404,3,2,0,0,1,1,0,0,1,0,2,40.8441,2448.3333,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06085512508,CA00_GILROY,06085512508,CA,53,52259,986:1,50.6,14043,37127,5035,8.45,66.06,8.96,28066,28139,49.94,50.06,1.76,57.19,98.24,42.81,40.75,59.25,11731,948,3681,114,12664,916,9.32,29.99,760.0074,4988,56205,0.4972,0.5042,48,48,48,5,5,1,1,3,36,6,58.4,85.4017,1170.9375,0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06085506703,CA00_LOS GATOS,06085506703,CA,120,145750,"1,215:1",0,29392,96796,22686,7.45,65.02,15.24,73446,75428,49.33,50.67,1.41,11.02,98.59,88.98,33.76,66.24,25225,556,35010,281,40727,1338,5.19,10.98,1098.4707,6220,148874,0.4393,0.4445,110,108,209,33,10,1,2,7,131,32,149,73.888,1353.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06089010500,CA01_REDDING,06089010500,CA,110,102666,933:1,44.1,19472,66695,17002,6.72,64.65,16.48,50731,52438,49.17,50.83,0.87,8.75,99.13,91.25,13.66,86.34,18002,2830,2741,160,26939,3511,16.6,36.64,74.1105,32190,103169,0.6348,0.6271,91,84,176,10,19,12,2,5,43,14,97.4,88.2048,1133.7253,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
