dp_secondary_id,primary_care_service_area_pcsa_label,primary_care_service_area_id,state_abbreviation,total_primary_care_providers_pcps,non_institutionalized_population,ratio_of_non_institutionalized_population_to_total_number_of_primary_care_providers,percent_of_pcsa_in_rural_area,population_age_0_14_years,population_age_15_64_years,population_age_65_years_or_greater,percent_of_population_age_0_14_years,percent_of_population_age_15_64_years,percent_of_population_age_65_years_or_greater,population_male,population_female,percent_of_population_male,percent_of_population_female,percent_of_population_black,percent_of_population_hispanic,percent_of_population_non_black,percent_of_population_non_hispanic,percent_of_population_non_white,percent_of_population_white,number_of_women_of_childbearing_age,population_american_indian_and_alaska_native_alone,population_asian_alone,population_native_hawaiian_and_other_pacific_islander_alone,families_for_whom_poverty_status_was_determined,families_with_income_below_1_00_times_the_u_s_federal_poverty_level_percent_of_total_by_primary_care_service_area,percent_of_population_with_known_income_below_1_00_times_the_u_s_poverty_guidelines_by_primary_care_service_area,percent_of_population_with_known_income_below_2_00_times_the_u_s_poverty_guidelines_by_primary_care_service_area,population_density,rural_population,total_population,preference_index,localization_index,number_of_primary_care_physicians,number_of_primary_care_physicians_1,non_federal,number_of_specialist_physicians,non_federal_1,number_of_ob_gyn_physicians,non_federal_2,number_of_primary_care_physician_assistants,number_of_gp_im_pediatric_physician_assistants,number_of_ob_gyn_physician_assistants,number_of_physician_assistants_with_specialty_as_geriatrics_or_unknown,number_of_dentists,non_federal_3,full_time_practice,number_of_dentists_1,non_federal_4,part_time_practice,primary_care_fte_physicians_for_mua_or_hpsa_purposes,crude_rate_primary_care_physicians,clinically_active,population_per_clinically_active_primary_care_physician,number_of_federally_qualified_health_center_look_alikes_located_in_pcsa,number_of_federally_qualified_health_centers_located_in_pcsa,number_of_tribal_run_sites_located_in_pcsa,number_of_indian_health_service_sites_located_in_pcsa,number_of_rural_health_clinics_located_in_pcsa,x64
06047000701,CA00_ATWATER,06047000701,CA,15,45126,"3,008:1",0,12221,30605,4716,8.54,64.37,9.92,24281,23261,51.07,48.93,4.15,53.33,95.85,46.67,36.67,63.33,9647,642,2381,121,10985,2161,23.12,50.17,587.9225,3824,47542,0.4408,0.4533,12,11,7,0,3,2,0,1,7,2,11,25.2408,3961.8333,3,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06059086902,CA01_ANAHEIM,06059086902,CA,93,195433,"2,101:1",0,43100,136906,20672,7.31,68.22,10.3,99185,101493,49.42,50.58,3.46,44.93,96.54,55.07,54.13,45.87,44290,2010,47228,1475,44862,4627,12.78,35.93,8922.1858,0,200678,0.3034,0.3201,85,84,101,11,8,3,0,5,112,10,96.7,42.3564,2360.9176,4,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06063000202,CA00_PLUMAS,06063000202,CA,15,9098,607:1,100,1378,6322,1746,5.36,66.93,18.48,4689,4757,49.64,50.36,1.62,6.96,98.38,93.04,12.5,87.5,1442,365,67,7,2550,347,15.41,34.44,7.045,6772,9446,0.6443,0.6573,13,13,3,0,2,1,0,1,9,2,13,137.6244,726.6154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06087110501,CA00_WATSONVILLE,06087110501,CA,68,82011,"1,206:1",0,21503,57027,7706,7.95,66.13,8.94,43542,42694,50.49,49.51,0.74,73.17,99.26,26.83,50.33,49.67,18113,1203,2697,86,18684,2739,16.72,45.04,692.7482,12441,86236,0.7247,0.7745,52,51,49,6,16,8,0,8,31,8,61.2,60.2996,1658.3846,0,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06045010500,CA01_FORT BRAGG,06045010500,CA,21,11179,532:1,99.8,2131,8023,2024,5.85,65.88,16.62,6104,6074,50.12,49.88,0.96,23.95,99.04,76.05,20.59,79.41,1983,234,163,16,2761,422,21.5,44.02,64.6343,2825,12178,0.6561,0.6969,20,20,18,3,1,1,0,0,5,3,23,164.2306,608.9,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06049000400,CA00_CEDARVILLE,06049000400,CA,2,1290,645:1,100,181,787,297,4.74,62.21,23.48,618,647,48.85,51.15,0.24,11.7,99.76,88.3,18.02,81.98,168,92,2,0,395,79,23.33,43.95,2.0742,1265,1265,0.6705,0.6531,1,1,0,0,1,1,0,0,0,0,1,79.0514,1265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06059063603,CA00_NEWPORT BEACH,06059063603,CA,434,325847,751:1,0,55143,245908,43219,5.41,71.43,12.55,172122,172148,50,50,1.25,22.08,98.75,77.92,28.76,71.24,78101,1496,46043,1030,75918,4596,10.88,23.42,3199.9747,465,344270,0.6311,0.604,382,380,1019,99,52,17,4,31,378,62,505.6,110.9594,901.2304,0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06059099509,CA02_SEAL BEACH,06059099509,CA,8,7266,908:1,0,6,1332,6211,0.01,17.64,82.28,2609,4940,34.56,65.44,0.69,5.64,99.31,94.36,13.8,86.2,48,8,865,3,1367,98,10.02,35.98,8038.7152,0,7549,0.2983,0.2351,8,7,12,0,0,0,0,0,5,0,8.3,105.9743,943.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06061022011,CA00_TRUCKEE,06061022011,CA,22,28406,"1,291:1",66.5,5400,22955,2916,5.41,73.41,9.32,16711,14560,53.44,46.56,0.4,19.23,99.6,80.77,11.58,88.42,5930,166,476,31,7322,407,8.68,22.81,85.4392,14060,31271,0.5548,0.5621,16,16,54,5,6,4,0,2,14,7,21.9,51.1656,1954.4375,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06065042515,CA01_MORENO VALLEY,06065042515,CA,65,70289,"1,081:1",0,20013,47636,4065,9.88,66.42,5.67,34770,36944,48.48,51.52,18.57,60.39,81.43,39.61,61.73,38.27,17268,624,3728,420,14983,2623,19.48,48.69,5371.9118,0,71714,0.2779,0.3511,55,55,45,7,10,4,0,6,33,2,69.6,76.6935,1303.8909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06067001500,CA00_SACRAMENTO,06067001500,CA,719,545727,759:1,0,111618,388912,62989,6.09,69.01,11.18,274921,288598,48.79,51.21,11.68,26.24,88.32,73.76,46.97,53.03,126279,7051,80472,5402,124193,15386,17.01,38.25,2884.5409,1089,563519,0.6818,0.6694,640,622,1411,113,79,35,2,42,415,75,825,113.572,880.4984,2,31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06067008506,CA01_FOLSOM,06067008506,CA,62,71420,"1,152:1",0,16801,56003,8454,7.69,68.92,10.4,43228,38030,53.2,46.8,5.24,10.58,94.76,89.42,21.57,78.43,13597,436,7580,175,19921,384,3.07,8.77,909.9058,3500,81258,0.2889,0.3016,53,52,74,6,9,3,1,5,59,7,62.4,65.2243,1533.1698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06073000400,CA01_SAN DIEGO,06073000400,CA,892,610035,684:1,0,104696,481355,66502,4.95,73.76,10.19,336335,316218,51.54,48.46,7.72,30.16,92.28,69.84,37,63,157351,4854,58168,2837,127423,13875,16.08,35.08,4881.6449,624,652553,0.5959,0.5766,779,720,1779,109,113,53,13,47,424,69,946.6,119.3773,837.6804,0,54,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06073020017,CA00_VISTA,06073020017,CA,52,55758,"1,072:1",0,13707,38306,7787,6.85,64.06,13.02,29335,30465,49.06,50.94,2.28,37.82,97.72,62.18,36.12,63.88,12618,431,4640,220,13690,1159,12.24,34.51,2808.2223,8,59800,0.2007,0.1963,46,42,56,15,6,3,0,3,34,6,57.8,76.9231,1300,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06099003906,CA02_TURLOCK,06099003906,CA,35,41379,"1,182:1",27,10659,28357,4370,8.26,65.36,10.07,21481,21905,49.51,50.49,1.55,37.91,98.45,62.09,28.72,71.28,9480,462,2168,151,10379,1264,15.33,36.63,230.5286,8872,43386,0.3191,0.3214,32,32,16,2,3,2,0,1,23,2,34,73.7565,1355.8125,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06001428100,CA00_ALAMEDA,06001428100,CA,73,68474,938:1,0,11616,48324,9753,5.63,69.34,13.99,33099,36594,47.49,52.51,5.95,10.9,94.05,89.1,48.66,51.34,13958,368,21806,339,16765,1251,9.78,21.19,9147.5465,0,69693,0.4604,0.392,59,59,56,5,14,8,1,5,47,12,67.4,84.657,1181.2373,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06001441924,CA00_FREMONT,06001441924,CA,303,316363,"1,044:1",0,67300,223885,33981,6.62,68.85,10.45,161471,163695,49.66,50.34,4.13,19.12,95.87,80.88,67.98,32.02,68897,1575,155043,2671,80074,3327,5.95,16.05,2912.0086,1297,325166,0.71,0.7246,288,283,368,48,15,8,1,6,315,39,347.1,88.5701,1129.0486,0,15,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06007000700,CA00_CHICO,06007000700,CA,112,112075,"1,001:1",0,19544,83521,13344,5.68,71.75,11.46,58018,58391,49.84,50.16,1.71,16.32,98.29,83.68,18.36,81.64,27042,1542,4337,247,25969,2862,18.64,39.03,150.364,18233,116409,0.8687,0.8496,91,89,178,12,21,14,0,7,61,23,101.4,78.1726,1279.2198,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06013353001,CA00_ORINDA,06013353001,CA,15,20160,"1,344:1",0,4049,13359,4075,7.92,62.18,18.97,10327,11156,48.07,51.93,1.01,5.87,98.99,94.13,21.1,78.9,3259,42,3003,36,5791,107,3.19,7.45,885.8584,356,21483,0.2991,0.2994,14,14,20,3,1,0,0,1,10,3,17.1,65.1678,1534.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06019005510,CA00_FRESNO,06019005510,CA,641,747914,"1,167:1",56.8,186588,503182,79817,8.02,65.38,10.37,379738,389849,49.34,50.66,6.06,45.3,93.94,54.7,44.62,55.38,164847,13231,84303,1283,173863,28313,21.17,43.66,280.4584,59527,769587,0.9092,0.9046,554,534,847,80,87,36,3,48,373,56,666.7,71.9867,1389.1462,2,24,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06023011600,CA00_MYERS FLAT,06023011600,CA,6,6420,"1,070:1",99.9,1251,6255,1036,4.57,73.23,12.13,4554,3988,53.31,46.69,0.91,6.99,99.09,93.01,11.43,88.57,1367,229,80,9,1738,156,18.24,38.8,11.633,8542,8542,0.554,0.5881,4,3,2,0,2,1,0,1,4,0,3,46.8274,2135.5,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06031001001,CA00_HANFORD,06031001001,CA,87,128355,"1,475:1",83.1,34317,102361,11685,7.35,68.99,7.88,84058,64305,56.66,43.34,7.12,49.37,92.88,50.63,44.73,55.27,27783,2409,5522,269,30703,4593,18.83,44.48,99.4566,22557,148363,0.7707,0.7735,64,61,66,9,23,16,0,7,39,6,77,43.1374,2318.1719,0,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06099003500,CA00_NEWMAN,06099003500,CA,2,11728,"5,864:1",2,3200,7989,1132,8.77,64.84,9.19,6139,6182,49.83,50.17,2.04,61.25,97.96,38.75,33.02,66.98,2581,120,204,40,2805,430,17.34,43.77,34.5394,2098,12321,0.3589,0.4086,1,1,0,0,1,1,0,0,2,0,1,8.1162,12321,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06099000202,CA00_OAKDALE,06099000202,CA,30,67132,"2,238:1",0,15705,45060,8218,7.95,65.32,11.91,34232,34751,49.62,50.38,1.13,34.28,98.87,65.72,23.53,76.47,13585,750,1570,180,17588,1464,10.83,26.16,185.881,14071,68983,0.5134,0.5234,21,21,9,1,9,6,0,3,18,2,25.1,30.4423,3284.9048,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06105000101,CA00_TRINITY CENTER,06105000101,CA,6,12481,"2,080:1",100,1869,8339,2603,5.46,65.09,20.32,6607,6204,51.57,48.43,0.45,7.16,99.55,92.84,12.63,87.37,1741,600,92,16,3507,301,14.69,38.74,5.4558,12811,12811,0.6418,0.6615,4,4,1,0,2,2,0,0,4,1,4,31.2232,3202.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06107000402,CA00_DINUBA,06107000402,CA,16,21760,"1,360:1",99.9,6473,14053,1786,9.3,62.98,8,11339,10973,50.82,49.18,0.65,83.64,99.35,16.36,47.64,52.36,4759,199,491,17,4752,1089,25.74,55.37,1677.2105,1077,22312,0.4449,0.5104,13,13,2,2,3,1,0,2,3,2,14.3,58.2646,1716.3077,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06107002700,CA00_SPRINGVILLE,06107002700,CA,14,33031,"2,359:1",98.3,9646,21531,3290,8.52,62.47,9.55,17342,17125,50.31,49.69,1.09,63.87,98.91,36.13,42.39,57.61,7008,1574,775,89,7709,2157,32.39,60.34,15.4358,6862,34467,0.433,0.4469,11,11,10,2,3,2,0,1,10,3,13.4,31.9146,3133.3636,0,2,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06109001200,CA00_SONORA,06109001200,CA,72,66965,930:1,79.6,10259,46597,14804,5.42,65.03,20.66,37333,34327,52.1,47.9,1.76,10.74,98.24,89.26,12.22,87.78,9801,1240,730,118,18812,1402,10.97,30.46,25.6151,39654,71660,0.8622,0.8748,59,57,59,2,13,5,0,8,32,11,58.8,82.3332,1214.5763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06111005202,CA00_SOMIS,06111005202,CA,54,77562,"1,436:1",0,14929,52947,13795,6.76,64.83,16.89,39701,41970,48.61,51.39,1.84,23.34,98.16,76.66,24.15,75.85,14878,535,7400,149,20556,812,5.54,14.83,608.2967,4143,81671,0.5226,0.5319,46,43,80,5,8,5,1,2,57,16,55.6,56.3235,1775.4565,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06111005907,CA00_WESTLAKE VILLAGE,06111005907,CA,44,27221,619:1,0,4496,17456,5130,7.19,64.46,18.94,13185,13897,48.69,51.31,1.03,7.42,98.97,92.58,12.94,87.06,4011,43,1793,30,7626,266,4.68,12.11,742.6999,2771,27082,0.3167,0.3263,43,43,91,11,1,0,0,1,39,6,52.7,158.777,629.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037701602,CA00_SANTA MONICA,06037701602,CA,296,183572,620:1,0,25368,132833,28779,4.39,71.04,15.39,91206,95774,48.78,51.22,3.33,13.17,96.67,86.83,22.29,77.71,40453,698,17447,236,40685,2191,9.44,19.73,3113.4539,2491,186980,0.5144,0.5097,270,263,692,59,26,7,1,18,204,39,360.7,144.4005,692.5185,0,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037540203,CA01_LYNWOOD,06037540203,CA,136,225886,"1,661:1",0,68048,156993,14448,9.53,65.55,6.03,116121,123368,48.49,51.51,23.38,74.43,76.62,25.57,69.68,30.32,57797,1759,962,1008,45376,10761,25.4,57.54,13220.7301,0,239489,0.1618,0.1494,94,93,189,21,42,15,3,24,21,4,141.7,39.2502,2547.7553,1,14,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037401102,CA00_GLENDORA,06037401102,CA,104,135536,"1,303:1",0,27295,97951,17254,7.25,68.74,12.11,69027,73473,48.44,51.56,2.88,44.18,97.12,55.82,32.61,67.39,30304,1280,12963,205,32985,1858,8.96,25.2,321.413,1187,142500,0.4229,0.3713,86,86,116,16,18,9,0,9,69,14,103.6,60.3509,1656.9767,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037463900,CA00_PASADENA,06037463900,CA,342,249224,729:1,0,42718,173048,35301,5.84,68.93,14.06,121371,129696,48.34,51.66,10.52,28.03,89.48,71.97,45.64,54.36,52121,1383,46885,234,59812,4315,10.65,26.42,2336.8623,116,251067,0.5874,0.5157,296,295,570,43,46,16,2,28,212,40,379.1,117.8968,848.1993,0,11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037265301,CA02_LOS ANGELES,06037265301,CA,544,359096,660:1,3,47317,281028,46456,3.84,74.98,12.39,181332,193469,48.38,51.62,11.1,20.56,88.9,79.44,41.17,58.83,97806,1828,57133,751,77253,5321,12.65,25.72,7123.5355,0,374801,0.3285,0.3307,490,467,1502,92,54,15,2,37,433,77,668.8,130.736,764.9,0,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037554515,CA00_CERRITOS,06037554515,CA,32,58559,"1,830:1",0,10920,39266,7863,7.14,67.64,13.55,28495,29554,49.09,50.91,6.79,35.56,93.21,64.44,66.95,33.05,11792,349,23035,254,14238,1126,9.32,27,9334.4256,0,58049,0.1816,0.2444,29,28,49,3,3,3,0,0,53,10,38.1,49.9578,2001.6897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06041126100,CA00_MILL VALLEY,06041126100,CA,49,32550,664:1,0,6569,21447,5366,6.06,64.25,16.07,15732,17650,47.13,52.87,4.02,5.72,95.98,94.28,16.86,83.14,5527,84,2231,78,8500,393,5.96,11.81,546.9111,759,33382,0.3487,0.3369,45,44,53,7,4,2,0,2,20,8,52.4,134.8032,741.8222,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06043000101,CA00_MARIPOSA,06043000101,CA,9,13145,"1,461:1",99.9,1953,8157,2987,5.52,62.28,22.81,6540,6557,49.94,50.06,0.64,9.12,99.36,90.88,12.05,87.95,1757,433,138,9,3975,452,12.8,27.74,17.0827,13097,13097,0.4298,0.4607,4,4,4,0,5,4,0,1,5,0,4,30.5413,3274.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06049000100,CA00_ALTURAS,06049000100,CA,4,5724,"1,431:1",100,1144,4101,1266,6.01,62.99,19.44,3301,3210,50.7,49.3,1.14,11.86,98.86,88.14,14.68,85.32,985,221,72,16,1618,267,18.68,42.98,2.739,3601,6511,0.5931,0.6219,3,3,1,0,1,1,0,0,2,1,3,46.0759,2170.3333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06053013200,CA01_MONTEREY,06053013200,CA,44,48564,"1,104:1",0,11393,34675,5085,6.6,67.79,9.94,25416,25737,49.69,50.31,7.62,35.34,92.38,64.66,47.87,52.13,11561,449,5910,877,11404,907,10.93,30.86,787.0778,2147,51153,0.226,0.2511,39,35,58,3,5,2,0,3,10,0,38.6,76.2419,1311.6154,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06059076101,CA00_ORANGE,06059076101,CA,538,576492,"1,072:1",0,136291,402982,52651,7.69,68.08,8.89,299186,292738,50.54,49.46,1.68,61.18,98.32,38.82,44.44,55.56,131904,4997,57642,1900,122819,13365,14.04,37.73,7552.4327,10,591924,0.584,0.5286,485,483,995,80,53,27,3,23,378,74,626.9,81.9362,1220.4619,1,29,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06059001706,CA00_FULLERTON,06059001706,CA,169,253331,"1,499:1",0,51966,173433,32432,7.14,67.27,12.58,126555,131276,49.08,50.92,1.9,41.34,98.1,58.66,44.3,55.7,54386,1839,49165,561,62162,4555,9.86,27.6,5327.8111,0,257831,0.4449,0.4054,134,134,287,23,35,16,3,16,207,41,159.4,51.972,1924.1119,1,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06059032022,CA00_MISSION VIEJO,06059032022,CA,290,370545,"1,278:1",0,79064,260710,41218,7.66,68.43,10.82,186856,194136,49.04,50.96,1.27,17.66,98.73,82.34,20.92,79.08,74244,1663,34474,580,98722,3153,4.7,12.02,1350.6937,3169,380992,0.5359,0.511,252,249,424,42,38,17,1,20,302,55,301.6,66.1431,1511.873,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06061020711,CA00_ROSEVILLE,06061020711,CA,292,213026,730:1,0,46958,143551,28402,7.92,65.58,12.97,105933,112978,48.39,51.61,1.66,12.44,98.34,87.56,18.37,81.63,43140,1674,16433,580,57321,2228,5.95,15.02,1016.324,8187,218911,0.6569,0.6703,269,262,417,49,23,15,0,8,210,36,319.4,122.881,813.7955,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06063000502,CA00_WESTWOOD,06063000502,CA,4,4072,"1,018:1",99.9,543,2449,965,5.38,61.89,24.39,2014,1943,50.9,49.1,0.38,6.27,99.62,93.73,6.92,93.08,506,68,28,5,1363,101,10.41,28.51,9.2516,3957,3957,0.6348,0.6553,4,4,0,0,0,0,0,0,3,1,3.9,101.0867,989.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06047001302,CA00_MERCED,06047001302,CA,109,105059,964:1,14.7,28289,71761,10126,8.32,65.13,9.19,54946,55230,49.87,50.13,5.23,50.84,94.77,49.16,45.93,54.07,24182,1458,11888,230,23963,4886,24.18,53.03,143.8095,12402,110176,0.7792,0.7901,83,79,99,10,26,18,0,8,46,13,100.9,75.334,1327.4217,0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06047000304,CA00_LIVINGSTON,06047000304,CA,7,15716,"2,245:1",0,4248,10543,1273,8.68,65.63,7.92,8120,7944,50.55,49.45,0.73,69.15,99.27,30.85,55.8,44.2,3540,413,2394,27,3452,499,18.03,49.11,284.2364,2796,16064,0.2953,0.2547,5,5,1,0,2,1,0,1,2,2,5,31.1255,3212.8,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06053011102,CA00_SOLEDAD,06053011102,CA,8,10316,"1,290:1",99.9,3486,7328,640,10.51,63.98,5.59,5747,5707,50.17,49.83,1.69,86.49,98.31,13.51,54.99,45.01,2717,171,337,20,2368,284,12.23,37.39,249.6278,233,11454,0.3464,0.4134,3,3,0,0,5,4,1,0,5,0,3,26.1917,3818,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06053011502,CA00_BIG SUR,06053011502,CA,9,1944,216:1,99.5,207,1276,227,4.39,74.62,13.27,904,806,52.87,47.13,0.35,22.46,99.65,77.54,13.57,86.43,301,10,22,2,243,33,24.43,36.21,6.8029,1710,1710,0.2781,0.2144,8,8,8,1,1,1,0,0,0,0,11,467.8363,213.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06059021809,CA00_YORBA LINDA,06059021809,CA,130,170637,"1,313:1",0,32511,122658,19269,6.95,70.32,11.05,85396,89042,48.95,51.05,2.05,23.7,97.95,76.3,32.81,67.19,36896,893,29450,315,43499,1787,6.88,17.85,1990.0148,1945,174438,0.4394,0.4439,113,111,158,16,17,11,1,5,109,25,132.7,64.7795,1543.6991,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06059062641,CA00_LAGUNA WOODS,06059062641,CA,134,114867,857:1,0,19795,75212,22779,5.56,63.85,19.34,55392,62394,47.03,52.97,1.73,21.63,98.27,78.37,27.51,72.49,22370,436,14909,246,27904,1076,6.81,18.9,4894.3186,0,117786,0.5603,0.5949,122,121,238,18,12,6,0,6,105,26,146.9,103.5777,965.459,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06059099802,CA00_WESTMINSTER,06059099802,CA,217,246810,"1,137:1",0,53184,171350,28530,7.25,67.71,11.27,126326,126738,49.92,50.08,1.06,37.22,98.94,62.78,67.28,32.72,54447,1616,110418,1295,53958,7144,15.12,40.25,10774.9097,0,253064,0.624,0.6773,199,197,169,35,18,10,1,7,229,29,239.2,78.6362,1271.6784,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06065045501,CA01_INDIO,06065045501,CA,7,76795,"10,971:1",0,26548,53663,5392,9.76,62.69,6.3,43622,41981,50.96,49.04,1.09,91.87,98.91,8.13,53.44,46.56,19064,896,659,42,16881,4868,32.81,66.42,303.1437,14930,85603,0.3607,0.4428,6,6,7,0,1,1,0,0,7,2,6.2,7.0091,14267.1667,0,11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06083002103,CA01_SANTA MARIA,06083002103,CA,73,99406,"1,362:1",0,27480,67372,10242,7.85,64.11,9.75,52968,52126,50.4,49.6,1.66,69.38,98.34,30.62,42.99,57.01,22845,1950,5169,166,21574,2881,17.05,48,3046.3397,327,105094,0.7031,0.7238,64,60,107,14,9,7,0,2,64,12,73.6,60.8979,1642.0938,0,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06041132200,CA00_INVERNESS,06041132200,CA,8,6581,823:1,94.4,958,4912,1441,4.5,67.19,19.71,3625,3686,49.58,50.42,0.86,15.4,99.14,84.6,12.32,87.68,1013,46,101,21,1595,71,7.87,26.59,22.2326,7311,7311,0.5411,0.6292,8,7,2,0,0,0,0,0,1,3,6.8,109.4242,913.875,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
